愛   あい
挨拶  あいさつ
愛情  あいじょう
合図  あいず
愛する あいする
相手  あいて
明かり あかり
空き  あき
明らか あきらか
諦める あきらめる
飽きる あきる
握手  あくしゅ
悪魔  あくま
明ける あける
預ける あずける
汗   あせ
与える あたえる
暖かい あたたかい
辺り  あたり
当たる あたる
扱う  あつかう
集まり あつまり
当てる あてる
跡   あと
穴   あな
浴びる あびる
油   あぶら
余り  あまり
誤り  あやまり
粗   あら
嵐   あらし
新た  あらた
表す  あらわす
現す  あらわす
現れ  あらわれ
現れる あらわれる
有る  ある
或   ある
泡   あわ
合わせる    あわせる
哀れ  あわれ
案   あん
暗記  あんき
安定  あんてい
案内  あんない
胃   い
いえ  いえ
委員  いいん
言う  ゆう
意外  いがい
行き  いき
行き  ゆき
息   いき
勢い  いきおい
生き物 いきもの
幾つ  いくつ
幾ら  いくら
医師  いし
意思  いし
意志  いし
維持  いじ
意識  いしき
異常  いじょう
椅子  いす
泉   いずみ
以前  いぜん
板   いた
偉大  いだい
抱く  いだく
頂く  いただく
痛み  いたみ
至る  いたる
位置  いち
一時  いちじ
一度に いちどに
市場  いちば
一番  いちばん
一家  いっか
一種  いっしゅ
一瞬  いっしゅん
一生  いっしょう
一層  いっそう
一体  いったい
一致  いっち
一般  いっぱん
一方  いっぽう
いつも いつも
移動  いどう
従兄弟 いとこ
稲   いね
居眠り いねむり
命   いのち
違反  いはん
衣服  いふく
居間  いま
今に  いまに
今にも いまにも
否   いや
以来  いらい
依頼  いらい
医療  いりょう
岩   いわ
祝い  いわい
祝う  いわう
言わば いわば
印刷  いんさつ
印象  いんしょう
引退  いんたい
引用  いんよう
上   うわ
魚   うお
伺う  うかがう
受け取る    うけとる
動かす うごかす
兎   うさぎ
牛   うし
失う  うしなう
後   うしろ
嘘   うそ
疑う  うたがう
内   うち
宇宙  うちゅう
撃つ  うつ
移す  うつす
訴える うったえる
奪う  うばう
馬   うま
うまい うまい
生まれ うまれ
梅   うめ
裏切る うらぎる
嬉しい うれしい
売れる うれる
噂   うわさ
運   うん
運転  うんてん
運動  うんどう
柄   え
永遠  えいえん
永久  えいきゅう
影響  えいきょう
営業  えいぎょう
衛星  えいせい
栄養  えいよう
笑顔  えがお
描く  えがく
餌   えさ
得る  える
得る  うる
円   えん
延期  えんき
演技  えんぎ
援助  えんじょ
演説  えんぜつ
演奏  えんそう
遠慮  えんりょ
御   お
老い  おい
追い付く    おいつく
王   おう
